	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
20x25	3155	1902	1553	801	725	1485	1225	1148	10400	738
16x9	1129	3897	3976	23859	1527	1034	1078	1743	1769	1462
17x20	2640	10635	886	745	795	668	1181	908	906	682
22x19	3246	3022	1125	999	2829	1503	2479	24179	1106	1308
20x7	2347	3173	3941	10016	535	665	892	1184	1286	1069
18x19	2104	4067	1060	638	655	587	1287	577	493	471
23x26	4577	7232	2754	897	1214	2984	1651	4663	2140	906
21x6	1676	4254	6266	9585	1148	1347	1330	2067	2145	1804
24x14	4275	1572	2392	1105	6111	3290	1557	1700	1439	969
12x17	207	5088	1611	333	546	453	285	331	324	440
25x15	2674	2710	4064	1361	2175	3281	2665	1290	2513	1157
13x20	331	4583	2587	450	240	322	222	379	429	294
26x12	3043	1635	2636	1156	1785	1353	1422	740	21603	1378
29x17	7715	1789	1608	1255	1841	3672	1147	828	770	1240
30x14	2553	847	2019	722	878	1422	434	1385	742	689
28x10	2272	960	2711	1116	1094	1567	938	1058	1359	10565
31x15	1556	1121	3229	898	918	1216	809	1070	918	780
29x11	2009	1554	2452	1154	670	1244	1166	1093	999	8491
30x16	607	405	790	267	426	421	204	292	258	361
17x13	8469	6735	1437	2248	1477	4758	2539	1165	655	1102
31x21	3784	2149	5401	806	2763	3938	1550	1690	3046	970
20x14	7019	1943	1420	1291	5237	7229	1287	1316	1070	1003
18x10	3403	5359	8356	14127	993	2016	2302	2268	2558	1168
23x19	20844	2057	1734	1717	2448	2474	12415	2280	2016	1984
21x15	6705	2838	4654	1530	4411	4676	2236	1186	1899	1432
32x25	1918	2711	2201	580	558	1116	478	691	776	580
22x12	8153	4850	2143	1977	15169	2210	4553	1485	2022	1640
23x9	1559	1587	4589	1853	1332	1973	1947	1509	2854	1192
24x21	2446	3748	4507	1705	1152	933	10791	1253	2996	1021
25x16	2829	1417	1998	1042	1076	1121	1360	676	1491	888
15x13	1333	10003	5321	1064	514	1599	618	672	557	573
26x23	1770	2242	2102	1322	3049	1188	1490	3668	13047	1151
27x6	1168	1342	3532	4642	782	1035	1030	1425	976	913
16x7	2348	5241	8020	10719	1139	1305	860	4561	2958	1343
30x27	2052	1356	2386	554	327	1132	805	705	447	539
19x18	5706	13874	910	1785	4599	4751	4256	1111	987	2016
17x6	3690	2218	1970	19001	1150	940	895	880	989	671
31x18	3506	1786	1589	432	915	881	688	663	572	1084
20x21	3289	7368	2614	1347	1455	1451	2923	1169	2876	1848
18x5	4151	2585	1215	16463	762	1088	1011	1127	1242	744
21x8	2213	1848	1420	9759	1024	2145	1369	1698	1383	1728
17x24	819	2706	1351	671	578	697	665	752	702	469
32x16	1664	1020	3425	826	878	1473	603	1321	746	817
22x7	1825	1249	8056	4094	1335	1387	1672	1673	1740	1104
23x6	1827	2967	5028	4768	1071	1103	886	1212	1206	917
14x19	437	4576	2873	383	350	376	389	621	422	375
25x25	1745	1689	1373	1217	683	931	871	1064	24437	968
15x10	975	7010	3550	1428	417	1212	585	591	1256	581
28x24	1610	1721	4317	678	856	1542	952	1095	1142	689
31x27	828	1902	4532	846	499	2332	696	1753	951	1008
16x20	3557	13909	975	1058	1217	1457	1263	958	758	1136
21x17	1761	3829	1870	918	1439	2004	1644	1356	1284	925
17x17	2494	6987	3793	812	665	2769	1177	1193	976	665
32x23	2030	1179	1522	554	747	1024	531	623	855	607
18x22	1678	7501	1013	910	713	749	2136	623	579	691
32x13	5749	730	7579	956	1188	3406	1271	1424	1217	1486
15x19	552	3113	6173	552	399	792	513	856	574	423
26x25	1057	2243	1823	1394	686	1524	646	1103	19497	707
24x9	2895	3559	3588	3149	1074	4600	2055	2076	3228	7410
12x20	206	4164	1347	435	259	244	206	235	269	355
27x20	13956	1607	4101	1159	1123	849	933	2981	1505	1287
28x23	1697	2114	4640	701	801	779	897	872	1069	649
29x22	4133	2399	1938	853	1882	1136	1071	1211	1409	1491
27x10	3561	2035	5931	1691	642	1650	1082	1423	1702	11006
28x13	3804	2410	2298	1170	2117	1835	1325	1135	1472	7063
16x11	2158	5092	8849	2476	629	1060	908	1170	1081	906
21x26	3756	4063	6624	1332	933	1208	1174	3162	1248	797
19x6	3031	2480	1900	23854	1499	2470	1706	2538	1516	2114
22x17	4301	4822	2585	913	2457	2348	1580	1598	1452	1371
18x17	1490	10115	1768	837	761	5644	1591	982	913	1021
23x20	3402	5914	2928	1291	2075	2104	29694	5002	3154	3627
22x11	779	1841	1452	1081	22761	2275	1381	2220	1014	1141
24x16	6129	5011	2357	1776	11323	4034	3307	2455	2741	2977
25x13	3609	1409	1471	921	1843	1191	1388	1015	6946	1509
13x18	479	10337	476	463	402	618	378	538	624	374
26x10	2592	3292	3034	1148	1444	2900	1473	1418	2152	23950
30x12	4591	1546	3834	977	1091	835	1100	1725	1117	1683
31x9	1138	2093	4149	990	2488	2007	1989	1130	1284	1015
29x9	1158	868	1646	615	847	806	614	781	615	932
30x22	1814	2162	2522	589	851	643	1291	943	1040	600
19x15	6186	7746	2423	2158	2716	25823	2949	1315	2089	1731
31x23	1263	1891	3609	526	583	683	958	920	1603	507
20x8	2464	2419	4440	16418	696	1909	1377	1679	1350	1453
18x8	3750	4007	1800	22558	1075	1248	1335	1254	1425	989
21x13	12239	2198	2060	1276	19083	4172	2868	1459	1484	1272
32x27	2036	1899	3436	783	530	1163	839	1175	1128	1033
23x11	4036	2348	7287	1244	21288	2161	2045	7592	1921	2033
24x23	3378	2783	1689	1156	2860	1551	3502	11497	1747	1487
14x14	632	3030	1502	559	387	2488	264	457	643	382
25x22	4181	1565	2034	1817	1191	1038	1277	19754	1598	1105
15x15	2989	5496	1006	812	455	1580	472	534	455	393
26x21	3240	4677	1514	982	863	627	969	2947	900	593
27x24	1415	1943	4701	712	784	1217	820	3442	2285	1032
30x25	4811	2220	3246	929	803	2367	935	830	1167	899
19x20	2211	7246	1142	799	1328	963	2110	817	1455	609
31x28	588	505	1345	219	225	376	249	345	285	227
20x23	5241	10604	1587	1240	1475	1659	26331	1222	1939	1285
21x22	4458	5914	729	1221	10787	1060	4527	1043	1335	1022
32x18	13265	1725	4643	1304	1617	2419	1836	1879	1033	1995
22x5	1219	2298	4957	2370	1199	494	742	923	953	823
32x8	2426	2922	6120	853	1234	983	1214	1225	1581	2188
14x17	1256	7023	863	566	526	1247	633	400	632	487
15x20	714	4247	3752	779	414	456	525	601	639	431
19x13	3111	2706	6283	1568	1906	3302	2759	1962	1711	1142
27x17	13700	2925	1278	2268	13236	2526	1930	1115	1142	1852
28x26	3575	2596	2709	1464	2386	8296	2163	3225	1594	1319
26x6	1338	2740	10468	3685	1509	1731	1548	799	1104	1294
29x27	1702	1422	7361	581	719	907	994	767	582	764
16x22	924	8321	4337	523	519	524	541	564	549	738
17x23	709	2901	1475	478	906	964	842	490	477	700
18x20	1386	4715	1602	737	657	580	950	567	596	380
23x25	3893	3621	4872	1006	898	2487	1323	3442	1826	973
32x15	1090	431	2324	603	647	834	363	785	412	648
24x11	1231	2398	1114	1101	6219	2056	2125	1390	1309	913
27x22	4608	2849	2757	1051	1100	739	1652	1837	1104	1512
25x10	1457	1560	5740	801	947	882	848	1740	1250	1320
28x17	8004	4313	914	1495	6355	2401	1573	561	839	2373
29x20	7466	3417	2293	1220	2696	1291	5352	2046	2174	2450
27x12	1956	1883	3950	825	1144	1151	907	1240	2244	1378
30x11	818	833	1184	476	582	540	614	512	533	4034
29x14	1821	1346	8925	550	2263	1124	1333	641	586	824
16x13	3254	6694	1420	1300	989	9758	1619	827	621	648
21x24	5430	4768	2838	1376	2653	1694	4809	4880	2471	1614
19x8	1170	2091	6948	7629	737	992	1002	1590	1308	997
17x8	1161	5993	1035	13445	1230	1409	1102	1153	891	1122
22x23	9183	2889	2168	1581	2256	6522	19667	2456	2441	1468
18x15	2546	5386	2235	689	838	6325	1105	1339	1421	663
23x22	3766	2284	4051	1628	2675	1426	12267	2803	5071	3592
22x9	2452	1424	3876	6402	1901	1350	1312	1017	25956	1122
23x12	4177	4165	1941	1438	13092	1974	3473	2835	3189	1677
24x18	12502	4252	1371	2201	5467	4842	2655	895	1473	26419
25x19	3754	1995	1586	1162	4158	1019	3824	5411	1537	3977
13x16	218	3610	1017	356	419	324	327	444	495	300
26x8	2223	1371	16062	2186	2935	2290	1168	1952	5091	3324
27x5	881	1083	2257	1368	366	622	389	465	542	391
17x15	2634	5090	1210	694	575	4578	758	950	630	814
28x6	3008	1601	3198	7905	990	2581	1643	1219	1725	1296
31x11	6622	1137	2658	1046	812	1695	1573	936	902	2018
29x7	994	1776	13767	2295	1042	1499	1214	3965	1640	1246
30x20	9707	2219	1943	988	1595	1432	13879	1251	1420	1550
19x17	2302	5599	3411	956	1209	3661	2212	1318	1440	1197
31x17	7935	2176	3381	886	1205	2511	846	2057	1705	995
20x10	2953	2118	4383	21220	1975	1991	2915	1583	2687	2448
18x6	2412	1846	1102	6736	645	1071	825	836	971	588
21x11	4027	2398	1867	13117	8781	1582	2708	4405	1522	2194
23x5	3109	1662	15392	5048	3145	1454	1665	1370	1194	1006
24x25	1428	1931	4337	839	569	987	863	1166	4843	793
25x20	9754	1528	1098	1136	813	572	1111	1572	891	1519
15x9	721	8492	2786	3788	874	800	535	1174	931	625
26x19	11128	3532	1683	1486	12133	1288	2198	2814	1072	1666
27x26	1056	2323	3451	887	1285	6197	740	10318	1307	716
19x22	1585	5751	1073	1076	1510	1002	14761	1253	1180	1103
20x17	2000	6007	5631	1401	1046	4078	3962	1048	1079	764
16x17	1803	9391	889	814	521	3290	1020	657	767	707
21x20	1643	2843	3469	555	849	610	1298	1328	1065	1065
32x20	4588	1896	1270	1056	1517	1774	1444	726	6608	1403
22x27	520	788	1127	278	301	345	310	1226	441	265
32x10	1161	1077	4266	1639	3010	5447	21790	1252	1184	1316
26x26	10681	3664	2858	985	1146	16991	1611	1933	3782	1321
24x6	1794	1865	10656	4260	1312	1218	1606	1484	1362	1163
27x19	13463	2151	1606	1354	15018	1092	2566	2622	1177	2630
25x7	1614	1338	7631	1833	1181	1351	1387	1573	1036	1669
28x20	2804	1612	3101	888	1342	744	1170	2947	1256	2118
29x25	2308	2267	3540	1272	918	1194	771	991	759	915
27x9	3578	1948	1492	1067	1849	4745	2136	2065	1917	13727
31x7	2252	2761	5257	2052	2662	2627	1796	1477	1882	1573
20x24	24130	2680	2041	1250	1858	2333	5914	2561	1755	1434
16x8	2642	3947	2139	22003	740	1097	834	1181	841	1050
19x5	1878	1693	4368	5909	1132	1281	698	1704	2203	2145
17x21	5325	13234	676	1393	2597	1029	2282	1122	696	810
22x18	4750	3756	2868	1251	1890	4637	2728	5007	1791	1694
20x6	2002	3098	5618	7463	823	1220	1070	2184	1124	1425
18x18	4314	10714	659	1081	1425	1428	10805	973	833	768
23x27	1497	2820	5772	812	694	948	746	1258	1323	896
21x7	2412	2504	9725	10299	1954	2671	1195	2755	1879	1131
24x13	3683	2333	10007	1656	7671	2108	3316	1589	1936	1876
25x8	1385	1527	5361	1596	855	1604	971	948	2599	1016
13x21	423	6952	2553	601	332	362	248	390	399	507
28x19	13119	1303	1327	1139	2600	1295	1674	1588	674	1419
26x15	2417	2278	5022	1758	5873	1887	1609	2076	1285	1163
29x18	3458	3724	617	1376	8605	1344	1824	821	719	2579
27x14	2421	2421	10665	1303	3196	1662	1738	760	933	836
30x9	1972	2224	7281	1051	1010	1476	1187	960	1606	1225
28x9	4130	5360	1853	1637	1226	2334	882	1211	1419	13536
31x12	3977	1247	6791	943	1049	1375	946	884	1064	1031
29x12	2722	4255	2270	1181	1142	1169	1007	1472	1121	4209
16x15	6253	9432	1119	1066	826	10256	671	623	699	689
30x19	22907	2134	571	1018	1954	915	3478	696	591	942
19x10	2483	1850	3780	10790	791	1205	1329	2492	1091	1284
17x14	9423	4569	474	867	1533	22110	1564	671	547	876
