	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
22x21	5069	7264	1907	1027	2587	1192	7153	2686	1363	1332
20x13	2482	2205	7568	2110	9225	8881	3833	2224	2629	2842
18x13	2165	2155	2595	929	1845	3698	1542	1875	1276	1001
23x16	6272	2608	3365	1559	14382	5466	2402	2758	3389	1585
32x24	2381	3440	8366	887	1313	2381	740	1427	1347	1011
22x15	4877	3308	5426	1878	4574	15637	2560	1504	2910	2858
23x14	5847	3132	1215	1182	11162	2757	1511	1383	1633	1201
24x20	2972	4124	3722	1081	3027	950	18652	3454	2117	1725
25x17	4742	1174	1057	1305	2935	8468	9984	1097	1076	1602
26x22	4531	3597	3500	1471	1167	933	1318	5671	2843	1215
27x7	3271	1649	2259	19025	1060	6431	1588	930	1348	1810
16x6	1704	2816	1818	6662	858	865	710	947	844	602
30x26	2408	3194	2291	1125	1957	9152	1595	1620	1208	1118
19x19	5426	7761	1136	987	5140	1366	4224	1283	972	782
17x7	1730	2602	2238	16580	1657	1448	1373	1622	1168	903
31x19	13061	1554	4821	1021	2705	2178	2629	917	1433	1302
20x20	5896	4429	1496	1281	2418	1623	5212	1837	1146	1019
21x9	1497	1100	5425	4713	1280	1658	1089	1160	2682	930
17x25	549	3899	1529	449	329	438	424	556	520	513
22x6	1720	1554	5272	4839	1232	715	1374	1761	1196	1225
23x7	2437	1378	2439	25610	2350	3166	1605	1233	1970	2160
24x27	3290	2672	6479	895	631	884	1063	1162	1503	754
14x18	1253	10219	683	387	409	909	472	544	587	386
25x26	2891	2440	1213	608	575	2144	715	1210	4764	712
15x11	744	3891	2692	644	292	680	342	426	388	334
26x17	9754	2606	4738	2050	12409	3155	1438	2807	1757	1587
27x28	1011	1473	1904	564	363	753	437	573	658	389
19x24	5464	5456	1011	1411	1852	2225	12990	1040	1466	1036
31x24	2102	1318	7485	879	627	1737	693	1004	1236	924
20x19	3184	4764	1779	1144	2370	1164	2675	1547	1259	1118
16x19	4720	12242	802	1063	1394	1210	966	852	761	1300
21x18	3467	4017	1869	1160	2951	4404	2234	3446	1614	1222
17x18	6333	14531	1114	978	1134	1826	1689	1098	758	1004
32x22	2311	1452	4763	985	1503	1686	1256	930	2153	580
22x25	7732	2035	3124	4952	1109	3528	5191	12392	4822	1036
32x12	594	372	925	440	253	346	302	347	329	759
14x21	525	3758	1954	525	336	497	359	329	420	400
15x16	2280	7815	751	1023	561	3490	1002	963	852	562
26x24	904	3181	2961	1086	931	1482	947	27573	2377	823
24x8	1931	1778	6975	2355	1149	1342	1073	1405	1812	1626
27x21	10241	2417	4329	1139	1082	795	1982	5849	2063	1903
25x5	1014	1201	4967	2383	514	687	528	1214	730	727
28x22	3755	1241	4073	852	472	429	1191	939	943	814
29x23	2517	3743	7311	1528	1312	1507	1910	1443	1682	863
27x11	2379	974	6292	1731	1145	2347	1046	3021	1543	4050
28x12	1694	2066	1045	1612	1922	1434	1613	940	1287	27930
20x26	646	825	952	458	303	560	598	800	4609	361
16x10	1647	4814	5612	10411	1249	1111	770	901	1320	742
19x7	2912	3454	3340	20132	1269	1735	1486	2646	1831	1433
17x11	1833	1552	4562	20885	1153	1075	1492	2613	1344	1218
22x16	5579	4270	4996	1000	3056	2167	1154	1667	1878	958
18x16	1779	4839	1726	942	797	8313	1492	1111	683	784
23x21	3536	2326	1475	1348	1863	1745	49265	1345	1368	1916
21x5	1781	3220	8972	5174	1303	1308	1403	1480	1385	2523
22x10	5763	2042	742	28403	3730	1284	2166	821	1106	1530
24x15	7321	4328	1108	861	8320	3912	1383	1068	1255	982
12x18	197	5437	1486	336	462	362	293	287	407	438
25x14	1972	3259	1214	628	3129	1699	1834	1541	1052	1140
15x7	1330	6821	3805	3697	763	1447	719	1204	1080	1137
13x19	384	4916	1115	268	409	317	214	423	300	499
26x13	6571	2853	4097	936	6280	2611	2291	1211	2179	2555
29x16	5215	2893	8211	1753	15627	8887	1570	1470	2702	2718
30x15	641	592	5008	580	1138	1622	653	2403	930	957
28x11	1754	999	2456	1600	1135	1928	1609	1870	1603	13268
31x14	5283	1112	5152	1133	870	3656	746	1441	1157	3390
29x10	2317	1810	3817	1324	1080	1372	992	1020	975	3962
30x17	5425	1337	2802	852	1712	2018	810	1424	1062	1844
17x12	1871	2693	10740	1117	817	1695	1314	595	731	674
31x20	6672	2524	2521	912	6726	3741	3770	1798	2289	2121
20x15	2881	1935	936	1360	6131	27300	3581	1192	1209	1786
18x11	1396	2711	2621	4455	606	482	788	859	866	527
23x18	7042	2703	1524	1222	11596	31946	13766	2585	1606	3386
21x14	21872	2127	1813	1880	11221	6548	2137	1634	2086	2252
32x26	4066	1723	2596	561	610	2588	415	1414	976	598
22x13	3703	2383	4978	879	4511	2008	1563	1834	1784	1610
23x8	1680	1918	11930	8260	2928	2729	1568	1723	3045	1794
24x22	3892	3602	1503	1238	2012	915	5653	2571	17691	1392
25x23	3259	2965	1674	1408	6519	1119	3042	3596	7819	3147
15x12	1329	5177	6143	967	513	1188	522	545	449	586
26x20	4639	3200	1326	786	1789	870	1299	9260	1386	1380
27x25	1292	1876	3456	1160	1727	3388	1318	1975	8324	981
30x24	3981	2419	2080	763	822	3023	1288	1031	1478	657
17x5	1502	1854	4704	4954	1630	1244	1181	736	953	1263
20x22	5623	5467	670	1440	3013	986	8184	617	816	793
21x23	3751	6791	1225	1853	11790	7188	5198	2410	1836	1491
32x17	3255	1230	6350	1229	1360	2834	1986	9302	1204	989
14x16	1077	9843	766	408	391	969	348	360	388	403
25x24	1353	2280	815	949	880	1681	940	2172	18978	874
15x21	2396	13877	1655	977	548	712	970	873	929	759
28x25	1483	3444	3094	1095	961	1277	1158	1328	3563	714
29x28	734	655	2201	332	467	465	481	331	270	327
31x26	1250	2222	4087	528	455	632	377	844	741	615
16x21	2413	11099	2047	1798	2088	884	2723	1197	1009	920
21x16	2045	6634	4991	1161	1303	1958	1554	2120	1652	946
17x16	1341	3233	2050	747	387	19369	647	737	844	651
18x23	1482	6323	1045	879	795	968	1782	1151	1145	748
32x14	5350	805	4690	1050	699	3878	1011	2744	1583	3740
15x18	1866	9862	889	665	652	1001	865	681	461	596
19x12	1975	2108	7287	2596	1893	1338	2367	997	1220	998
24x10	1615	3110	4978	1431	1265	1160	1020	2366	1451	1458
27x23	4639	3547	5693	1020	1506	1436	1166	11770	1999	1245
25x11	953	1384	4310	1030	1238	906	1408	1291	2235	1260
28x16	9031	3486	1625	1426	17869	4834	1514	882	1327	2391
29x21	6716	5384	1944	2188	2205	1195	10318	1346	1434	1207
27x13	2984	1934	715	964	4112	7363	1748	1151	912	1397
30x10	2315	1687	4256	1317	985	1281	1082	939	1363	11691
28x14	3241	1888	2657	911	1070	1875	1405	1135	1048	13578
29x15	3424	1529	3529	930	1878	2786	1033	1412	1045	1217
16x12	1432	6319	7737	842	529	1857	723	611	605	558
21x25	16389	2764	4300	2857	2795	3481	2555	3373	5098	2249
19x9	1822	1972	2139	16745	1216	2528	1780	1588	2137	1474
17x9	1956	2909	6008	21495	926	1593	1320	1334	1581	1005
22x22	16764	7477	1863	1353	10730	1974	4691	2073	1782	1542
18x14	2603	5329	1798	909	1830	22477	3586	1351	1817	1106
23x23	4688	2952	1432	2189	3303	2153	6064	17348	2315	3904
22x8	899	1579	2977	7862	1287	3949	921	1308	1436	1509
23x13	2574	1380	6015	847	11914	1545	1750	2377	1825	1015
24x17	4821	1666	2606	1225	5778	13248	4723	1670	3564	2223
25x12	2320	3975	1723	817	2690	3268	3052	1788	2479	1307
13x17	782	8222	739	397	666	750	492	445	531	343
26x11	1057	1512	5899	1232	1217	1943	919	4840	2507	2462
30x13	6197	2049	1500	1335	5488	4275	993	1198	899	1865
31x8	2085	3349	6297	1185	1934	1747	1859	1637	1329	1642
29x8	3025	2132	9913	1161	1184	1329	1734	2770	1462	1984
30x28	602	565	1213	348	220	664	495	354	273	260
30x23	1340	1158	5874	724	1264	987	907	713	1264	639
19x14	3104	2632	1457	1430	3101	13182	3095	1213	1643	911
31x22	3296	1636	3076	609	1863	1574	1025	1048	1665	859
20x9	3694	1590	4254	22930	1348	1732	2291	2028	2722	1984
18x9	2824	3203	2610	21175	1281	2204	1182	1118	1241	1118
21x12	4600	6298	2577	2131	10191	2967	3825	1689	1602	1538
32x28	389	1168	873	295	198	344	343	338	352	303
23x10	1503	1401	3728	1434	2720	2170	1012	4196	2378	1102
24x24	1683	2270	2942	907	1054	1239	1716	3341	8151	936
14x15	676	5958	1066	558	563	1236	398	576	403	461
25x21	4262	4000	1099	1793	1527	844	2620	9693	1295	1009
15x14	603	4938	1856	424	514	1023	454	506	437	428
26x18	8921	3723	1153	2013	24855	1416	2572	1198	982	1083
27x27	2514	2417	3076	856	694	1774	1057	1806	1402	716
28x28	625	1045	2812	424	442	805	554	469	463	397
19x23	2488	7006	770	1272	2117	796	2976	750	4881	1020
20x16	1590	6346	4974	1503	1730	12145	4713	1544	2189	1321
16x16	1318	2957	1334	514	619	4856	656	778	674	631
21x21	5032	12189	3217	2437	2944	1475	41166	1952	1979	1617
32x19	6496	2041	1173	1166	2539	1865	6167	1318	1400	1725
22x26	2941	3280	6615	1185	807	2073	1189	12100	1804	694
32x9	1612	3000	6355	877	1775	2672	1884	2019	1645	1413
24x5	1529	1363	5216	2590	723	671	708	2152	847	890
28x15	2462	632	1052	619	958	1642	461	456	511	1006
28x27	2409	1919	4886	1088	593	2061	801	1265	800	929
26x7	2138	2218	10621	2877	1327	1402	1478	1050	1412	1644
29x26	4528	1002	2104	924	1085	6831	1272	1446	1073	1021
17x22	6331	23249	5396	2356	3230	1970	6769	1799	1352	1516
20x5	1484	2121	4747	14506	732	961	692	1410	1415	15220
18x21	1541	5517	2151	939	1094	541	1207	811	859	939
23x24	3034	3573	4138	1426	1334	1221	1456	1850	16135	1005
24x12	3136	6261	1549	887	9831	1526	3061	2335	1397	1590
25x9	954	744	4062	945	922	695	648	979	988	1553
28x18	5296	2795	1028	1765	24339	1164	1574	1176	1019	2087
26x14	1537	1338	3846	904	1481	895	885	975	989	732
29x19	4454	3509	1744	1389	2901	1253	3090	1158	1083	13173
27x15	2313	1654	7868	876	1928	1909	1408	773	805	926
30x8	2353	1576	7507	1211	1858	1042	1146	1199	1912	1049
28x8	2303	2031	8693	1683	1223	2038	1189	1799	1051	1787
31x13	5671	1630	2277	1208	1589	2925	665	1203	5290	2524
29x13	2253	1957	6435	666	1562	930	679	1115	706	1346
16x14	11129	3420	485	794	632	2603	952	491	389	657
30x18	18764	3822	2851	1279	1923	2114	1838	1370	1597	3710
19x11	1421	2790	2430	8164	813	1007	1070	1230	923	816
22x20	3105	6167	2629	1008	5349	1351	7761	12800	1677	18185
20x12	3621	2799	2125	2968	23256	2307	3941	2050	1933	1816
18x12	1355	1870	4092	1482	640	1002	648	698	681	461
23x17	1682	2303	1700	1452	9501	13245	2849	20430	1602	3257
32x7	727	1543	3315	576	1820	1382	749	1104	923	1221
22x14	31241	1398	907	908	6944	3295	1696	950	911	1065
23x15	5178	3112	9784	1973	6755	7196	2031	2537	2235	1157
24x19	6302	3079	1871	1124	3350	1752	8897	1728	1042	2439
25x18	5806	2662	1465	1258	9456	3178	4269	3300	2242	2165
13x15	311	2756	1703	343	303	665	294	369	347	320
26x9	2589	2295	2511	2600	1219	2859	1252	806	21119	3625
28x7	1568	1690	1584	3083	513	1607	524	844	754	1091
31x10	2826	1445	5722	869	838	1754	1925	1035	762	1816
29x6	3112	1589	9945	1268	2050	893	1301	1001	1776	672
30x21	3474	1803	1524	608	6248	1650	1971	1083	1072	988
19x16	3860	4338	1794	1253	1013	11443	1515	974	886	610
31x16	1168	631	1740	396	443	459	521	870	596	472
20x11	1545	1806	918	6355	1550	1578	2080	879	1134	1052
18x7	1658	2377	1640	8497	607	905	683	1350	1029	782
21x10	5364	1833	15759	7949	3593	1455	2443	1541	3712	1726
24x26	3340	4403	1579	933	902	5610	1460	3507	2346	704
14x13	523	3469	1485	267	230	529	267	325	324	288
25x27	2524	3441	7580	993	637	1908	1089	1191	3986	893
15x8	799	4881	2423	2135	374	592	272	454	488	356
26x16	5590	6024	3469	1489	5200	3164	1846	1300	4796	2020
17x10	1279	5941	3437	21956	853	1266	1434	1192	1596	808
19x25	752	1306	1143	538	386	725	571	441	701	353
31x25	1419	1658	4483	701	617	1277	681	1014	818	565
20x18	2653	6712	1196	781	1516	2250	2789	1523	953	1083
16x18	2345	9680	1410	918	552	932	649	517	526	465
21x19	3432	7024	1388	774	2089	1302	2506	5728	1265	861
17x19	2468	3853	1674	752	518	558	758	539	906	443
32x21	5784	2125	4387	780	2631	1856	2281	1272	1272	973
22x24	2559	4501	6299	1200	864	1383	1594	11530	2070	861
18x24	1758	12722	983	969	1470	870	1341	781	1683	991
32x11	760	527	3702	593	457	1065	1430	904	466	788
14x20	326	3536	1380	447	214	283	202	248	306	210
15x17	805	4236	916	556	319	571	556	514	488	372
26x27	3280	2169	3002	1192	685	8326	729	6324	2855	1076
24x7	2377	1476	7431	18013	3097	4121	1763	1106	1499	3054
27x18	10301	3375	3417	4179	19665	2307	1677	1917	1114	1894
25x6	1406	1278	6497	1936	878	686	1131	796	1018	825
28x21	5739	2262	1778	1011	847	863	1076	1739	1386	1564
26x5	710	2382	5003	3435	725	1603	933	1076	871	1010
29x24	2032	2147	5708	519	695	665	873	904	921	594
27x8	1731	1440	5964	1140	965	1144	837	962	2418	2099
