,x
1.2X31x27,1
1.2X32x27,1
1.2X27x28,1
1.2X28x28,2
1.2X29x28,3
1.2X30x28,3
1.2X31x28,2
1.2X32x28,3
1.2X17x5,1
1.2X18x5,6
1.2X19x5,1
1.2X20x5,6
1.2X21x5,1
1.2X22x5,1
1.2X23x5,1
1.2X24x5,1
1.2X25x5,1
1.2X26x5,1
1.2X27x5,3
1.2X16x6,6
1.2X17x6,6
1.2X18x6,6
1.2X19x6,6
1.2X20x6,6
1.2X21x6,6
1.2X22x6,6
1.2X23x6,1
1.2X24x6,1
1.2X25x6,2
1.2X26x6,1
1.2X27x6,1
1.2X28x6,6
1.2X29x6,1
1.2X15x7,0
1.2X16x7,6
1.2X17x7,6
1.2X18x7,6
1.2X19x7,6
1.2X20x7,6
1.2X21x7,6
1.2X22x7,1
1.2X23x7,0
1.2X24x7,6
1.2X25x7,1
1.2X26x7,1
1.2X27x7,6
1.2X28x7,1
1.2X29x7,3
1.2X30x7,0
1.2X31x7,0
1.2X32x7,2
1.2X15x8,3
1.2X16x8,6
1.2X17x8,6
1.2X18x8,0
1.2X19x8,1
1.2X20x8,6
1.2X21x8,6
1.2X22x8,6
1.2X23x8,6
1.2X24x8,1
1.2X25x8,1
1.2X26x8,1
1.2X27x8,1
1.2X28x8,1
1.2X29x8,1
1.2X30x8,1
1.2X31x8,1
1.2X32x8,1
1.2X15x9,0
1.2X16x9,6
1.2X17x9,6
1.2X18x9,6
1.2X19x9,6
1.2X20x9,6
1.2X21x9,6
1.2X22x9,1
1.2X23x9,0
1.2X24x9,0
1.2X25x9,1
1.2X26x9,1
1.2X27x9,0
1.2X28x9,0
1.2X29x9,0
1.2X30x9,1
1.2X31x9,0
1.2X32x9,1
1.3X10x10,3
1.3X11x10,3
1.3X12x10,5
1.3X13x10,1
1.3X14x10,4
1.3X15x10,1
1.3X16x10,0
1.3X17x10,3
1.3X18x10,1
1.3X19x10,3
1.3X20x10,0
1.3X21x10,0
1.3X22x10,0
1.3X23x10,0
1.3X24x10,0
1.3X25x10,5
1.3X26x10,0
1.3X27x10,0
1.3X28x10,7
1.3X29x10,7
1.3X2x10,5
1.3X30x10,7
1.3X31x10,7
1.3X32x10,7
1.3X3x10,1
1.3X4x10,5
1.3X6x10,3
1.3X7x10,5
1.3X8x10,3
1.3X9x10,3
1.3X10x11,5
1.3X11x11,5
1.3X12x11,2
1.3X13x11,3
1.3X14x11,2
1.3X15x11,3
1.3X16x11,3
1.3X17x11,2
1.3X18x11,1
1.3X19x11,3
1.3X22x11,0
1.3X23x11,6
1.3X24x11,0
1.3X26x11,5
1.3X27x11,5
1.3X28x11,5
1.3X29x11,0
1.3X2x11,5
1.3X30x11,1
1.3X31x11,7
1.3X32x11,7
1.3X3x11,1
1.3X4x11,5
1.3X5x11,3
1.3X6x11,3
1.3X7x11,4
1.3X8x11,3
1.3X9x11,3
1.3X10x12,3
1.3X11x12,4
1.3X12x12,3
1.3X13x12,3
1.3X14x12,2
1.3X15x12,3
1.3X16x12,3
1.3X17x12,3
1.3X18x12,0
1.3X19x12,2
1.3X20x12,1
1.3X21x12,5
1.3X22x12,0
1.3X23x12,0
1.3X24x12,0
1.3X25x12,5
1.3X26x12,5
1.3X27x12,5
1.3X28x12,7
1.3X29x12,0
1.3X2x12,3
1.3X30x12,7
1.3X31x12,7
1.3X32x12,7
1.3X3x12,2
1.3X4x12,1
1.3X5x12,3
1.3X6x12,1
1.3X7x12,3
1.3X8x12,3
1.3X9x12,3
1.3X10x13,3
1.3X11x13,3
1.3X12x13,4
1.3X13x13,1
1.3X14x13,4
1.3X15x13,3
1.3X16x13,3
1.3X17x13,5
1.3X18x13,3
1.3X19x13,0
1.3X20x13,0
1.3X21x13,3
1.3X22x13,5
1.3X23x13,0
1.3X24x13,0
1.3X25x13,0
1.3X26x13,0
1.3X27x13,0
1.3X28x13,7
1.3X29x13,7
1.3X2x13,2
1.3X30x13,7
1.3X31x13,7
1.3X32x13,7
1.3X3x13,1
1.3X4x13,2
1.3X5x13,3
1.3X6x13,3
1.3X7x13,3
1.3X8x13,4
1.3X9x13,3
1.3X11x14,1
1.3X12x14,3
1.3X13x14,0
1.3X14x14,0
1.3X15x14,5
1.3X16x14,5
1.3X17x14,5
1.3X18x14,3
1.3X19x14,6
1.3X20x14,2
1.3X21x14,3
1.3X22x14,0
1.3X23x14,3
1.3X24x14,6
1.3X25x14,0
1.3X26x14,5
1.3X27x14,0
1.3X28x14,5
1.3X29x14,5
1.3X2x14,2
1.3X30x14,5
1.3X31x14,7
1.3X32x14,7
1.3X3x14,5
1.3X4x14,3
1.3X5x14,3
1.3X6x14,3
1.3X7x14,3
1.3X8x14,2
1.3X9x14,3
1.3X10x15,3
1.3X11x15,3
1.3X12x15,5
1.3X13x15,3
1.3X14x15,0
1.3X15x15,6
1.3X16x15,5
1.3X17x15,3
1.3X18x15,4
1.3X19x15,0
1.3X20x15,0
1.3X21x15,0
1.3X22x15,3
1.3X23x15,6
1.3X24x15,0
1.3X25x15,0
1.3X26x15,5
1.3X27x15,0
1.3X28x15,0
1.3X29x15,7
1.3X2x15,3
1.3X30x15,1
1.3X31x15,7
1.3X32x15,7
1.3X3x15,5
1.3X4x15,3
1.3X5x15,5
1.3X6x15,2
1.3X7x15,3
1.3X8x15,3
1.3X9x15,5
1.3X10x16,3
1.3X11x16,6
1.3X12x16,3
1.3X13x16,5
1.3X14x16,2
1.3X15x16,6
1.3X16x16,4
1.3X17x16,3
1.3X18x16,3
1.3X19x16,3
1.3X20x16,6
1.3X21x16,2
1.3X22x16,0
1.3X23x16,5
1.3X24x16,6
1.3X25x16,0
1.3X26x16,0
1.3X28x16,0
1.3X29x16,7
1.3X2x16,5
1.3X30x16,1
1.3X31x16,7
1.3X32x16,0
1.3X3x16,3
1.3X4x16,3
1.3X5x16,1
1.3X6x16,3
1.3X7x16,1
1.3X8x16,5
1.3X9x16,5
1.3X10x17,6
