	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
18x20	50	161	299	86	88	193	60	212	78	92
23x25	623	142	1260	146	255	158	207	280	175	348
32x15	459	467	564	212	190	214	319	275	643	544
14x24	196	238	854	121	55	256	103	331	86	140
10x24	169	245	506	105	87	272	70	449	87	100
11x21	88	79	252	37	77	169	52	188	99	89
24x11	283	262	309	99	100	93	58	167	103	52
12x22	176	295	374	175	282	621	141	631	232	222
27x22	456	205	1223	144	118	167	282	214	147	122
25x10	774	658	1028	183	213	182	213	568	241	234
13x23	67	133	163	81	56	173	49	319	74	119
28x17	671	210	1998	223	113	121	433	260	169	177
29x20	527	128	953	130	91	88	124	172	67	103
27x12	234	182	253	127	74	78	162	103	54	91
30x11	1505	175	477	180	101	149	124	114	123	94
28x15	570	127	496	136	95	114	194	149	76	140
31x2	534	432	1201	502	248	198	201	160	121	11129
29x14	2191	338	604	374	219	197	260	209	237	201
16x13	212	373	978	202	287	1933	403	588	239	163
21x24	1573	337	793	242	337	334	445	3945	362	314
19x8	124	212	577	129	89	121	93	1229	106	204
22x23	815	307	2797	244	266	286	173	637	1883	304
20x3	241	1958	156	374	134	190	142	200	149	105
18x15	249	445	287	333	192	1903	130	349	300	120
23x22	1093	273	2392	258	116	198	108	181	237	189
21x2	1170	11398	573	1037	252	268	422	448	314	392
32x6	423	439	350	1043	544	230	296	212	192	323
22x9	320	938	1660	182	233	187	166	233	228	370
23x12	345	450	522	167	101	143	89	271	228	143
15x26	409	205	1133	173	111	340	1935	220	147	257
24x18	780	555	2945	377	279	224	188	273	525	362
25x19	553	196	653	204	85	166	106	126	183	179
13x16	55	157	193	64	267	242	56	132	77	55
26x8	530	385	212	144	119	133	96	122	84	88
27x5	297	617	91	1158	307	254	238	140	247	124
28x6	623	288	301	4894	273	231	201	293	229	400
31x11	2239	306	1399	188	158	111	160	207	214	171
29x7	396	337	232	8812	180	187	205	223	170	205
30x20	457	232	2251	213	127	263	2255	314	257	160
19x17	122	188	474	143	108	295	69	346	113	116
31x17	1395	324	2041	194	156	175	193	276	212	197
20x10	223	1114	1020	363	207	504	201	851	322	233
18x6	39	69	121	22	16	48	22	67	23	44
16x26	649	161	640	144	253	591	308	452	285	328
21x11	230	378	2171	217	193	203	215	306	205	178
17x27	448	116	854	106	73	89	133	117	54	153
23x5	511	1028	278	7498	252	272	370	257	241	257
24x25	545	202	1006	129	82	113	108	112	61	182
25x20	481	235	1888	400	292	185	133	161	135	197
11x25	146	210	1219	130	94	145	100	248	76	69
26x19	299	137	591	110	83	135	118	225	95	103
19x22	125	560	1750	100	127	373	89	305	214	209
20x17	115	153	1043	118	103	193	49	233	125	71
16x17	142	184	148	161	185	4361	92	214	144	110
21x20	136	174	848	102	106	102	87	167	143	91
17x28	51	60	241	41	39	33	30	63	30	21
32x20	659	208	1572	141	163	153	175	236	122	161
22x27	256	107	1454	77	96	86	1595	162	79	224
18x27	318	63	627	74	92	152	103	83	57	176
23x2	593	689	517	1419	141	163	130	214	157	210
32x10	3533	358	2574	267	220	342	202	383	514	271
14x23	162	325	975	230	216	386	143	670	121	179
24x6	524	404	511	305	264	186	132	255	225	4036
12x25	293	350	1695	195	201	159	265	389	192	252
27x19	1999	215	1586	200	182	206	216	213	173	211
25x7	398	487	368	446	3328	298	157	327	169	207
