	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
20x25	3053	3127	4842	2861	964	1261	2422	1460	2197	945
16x9	6775	2268	3330	1018	1274	19106	1121	3744	853	1985
17x20	1511	9101	1831	2221	840	837	946	1442	571	746
22x19	2442	2851	3814	5775	1650	1155	16018	4882	1174	2035
20x7	5325	1708	2752	2002	464	7855	1140	2040	898	924
18x19	1762	3438	879	1692	623	576	913	1171	436	449
23x26	3953	6205	2855	3959	1238	907	2490	2511	2372	2528
21x6	6663	2500	4325	1858	1016	7831	1939	2493	1425	1572
24x14	1689	2154	1284	3913	5017	1130	2637	1206	2587	2793
12x17	371	2267	1505	240	462	506	338	3159	516	254
25x15	2568	2705	2732	2719	2778	1213	2955	3019	2097	1104
13x20	566	1979	1888	441	269	543	234	3318	314	285
26x12	2425	2075	10445	3724	2357	1786	8377	1224	2432	1906
29x17	1900	2612	1140	5024	3981	1431	1064	928	2530	1255
30x14	1540	1092	1270	2017	841	669	650	684	1472	1456
28x10	4424	1120	2360	2658	3929	1725	1475	1268	2651	2030
31x15	1443	1090	2253	1298	954	1034	955	852	1371	1265
29x11	2833	2180	1728	2173	2332	1366	2292	1703	1682	2543
30x16	719	353	532	393	484	254	247	361	405	283
17x13	2540	8566	1417	5395	2093	2057	3154	1257	3474	632
31x21	4635	2198	3574	3390	2931	892	1751	2462	2767	1497
20x14	3810	2462	1154	6035	5364	1192	2908	1090	4059	741
18x10	7292	5179	6144	3256	1167	11094	1496	2318	1976	2628
23x19	2633	6439	1800	15152	6843	1937	9881	1820	1477	1987
21x15	4928	3693	3021	4539	4920	1499	2847	1049	3679	1392
32x25	1602	1903	1982	1898	427	529	509	1110	1102	547
22x12	4972	7144	1564	5381	12896	1856	5092	1610	1518	2169
23x9	4526	1122	2860	1877	1742	1479	1681	1917	1756	1435
24x21	4916	5057	4331	3385	3900	1262	2742	2702	1006	1251
25x16	2247	1491	1973	1794	1796	1092	1283	706	952	564
15x13	2335	3837	3118	1710	701	1223	435	7083	1240	572
26x23	3052	2338	3405	2440	2089	1345	3082	1646	1517	10115
27x6	2577	1106	2181	1363	1027	3419	991	1361	994	1826
16x7	7529	2827	4575	2726	868	7790	1045	5272	1268	4594
30x27	1434	1501	1530	1854	668	574	465	707	900	670
19x18	2355	15767	1766	4878	3380	1690	4953	1349	2841	1016
17x6	4305	1917	2451	2988	822	16174	1238	630	1087	792
31x18	1844	2055	1183	2290	983	626	1211	625	787	512
20x21	5510	5484	2599	2837	2870	1063	1767	1760	1252	1198
18x5	5992	2687	1278	2814	787	13017	900	1280	672	961
21x8	2432	2536	1361	1986	981	9105	1537	609	1824	2216
17x24	1377	1910	1034	665	632	731	652	1092	712	605
32x16	1541	1228	2276	1495	897	923	1082	821	1314	1196
22x7	2803	1243	6230	1811	1428	3480	1785	1691	1881	1783
23x6	5363	1715	3048	1339	821	3978	822	1737	1034	1128
14x19	1352	2561	2288	495	355	422	408	2160	381	380
25x25	4833	2032	5963	3198	1971	1370	2624	7150	2891	2946
15x10	1061	4377	4689	1134	514	1821	527	1583	1363	536
28x24	2788	1642	2362	1824	719	701	854	833	1853	1026
31x27	3471	797	1464	1022	601	745	569	3229	2420	1029
16x20	1482	12580	1741	2972	1120	1350	911	1776	1089	1267
21x17	3506	4018	1458	1734	1194	747	1434	694	1370	875
17x17	2132	6263	3643	2604	855	798	621	1185	1987	1443
32x23	1874	1318	1032	1605	693	412	633	768	831	506
18x22	2280	6350	1542	1499	859	832	1019	1119	560	533
32x13	2070	654	2438	4746	1633	1097	1152	1460	3212	6544
15x19	1462	2860	5246	705	432	539	451	624	856	772
26x25	3366	3680	5409	1970	848	1460	964	1355	2986	8642
24x9	6364	3340	2870	3142	1702	3659	3270	1995	4807	2485
12x20	493	1777	903	384	254	475	311	2551	305	267
27x20	4778	1287	1900	9946	1831	1287	1638	3815	990	2029
28x23	2896	1895	3195	1453	976	738	630	892	807	737
29x22	1975	2417	1530	3294	2594	760	956	1482	1196	1319
27x10	4044	1727	4719	3854	2039	2281	2318	2206	2978	4557
28x13	2502	2667	2787	3511	5333	1484	2009	1023	1710	1603
16x11	2720	3742	7537	1845	675	2655	957	1352	1457	1389
21x26	4357	2941	5055	3448	1041	1350	1083	1780	1454	1788
19x6	7135	2500	1793	2940	1347	19497	3053	1588	1627	1628
22x17	3752	4201	2176	3639	2243	953	2033	1513	1940	977
18x17	2145	8693	2204	2202	1044	898	1227	1529	4381	799
23x20	3015	8547	4593	7026	3378	1689	24167	3197	1473	2106
22x11	2012	2996	1270	942	19418	952	2787	976	2052	2540
24x16	5447	6273	2775	5627	9617	1788	4637	1305	3235	1406
25x13	2680	1567	3007	3549	4059	884	1800	1592	1150	1014
13x18	520	6468	840	707	403	543	484	3691	671	362
26x10	5450	2329	2005	3750	2452	3398	9008	5407	4316	5288
30x12	3008	1848	2428	3123	1413	1160	972	1196	1342	2009
31x9	3056	1882	2395	1145	3121	894	901	1545	1999	1345
29x9	1438	727	1370	1181	815	583	879	527	632	730
30x22	2686	1514	2038	1714	1079	522	842	920	558	582
19x15	6203	11902	2608	7671	3214	1756	4317	1474	14927	1064
31x23	1723	1923	3407	1235	578	533	1140	719	756	529
20x8	6779	2031	2934	1949	829	13523	1349	1391	1750	1670
18x8	6616	3628	2026	2409	959	19028	1311	1363	1102	999
21x13	1668	3588	1781	9840	3194	1478	20429	1697	2985	1451
32x27	3587	1483	2191	1731	660	757	558	911	1175	969
23x11	5173	3708	4242	4552	14093	1344	5786	2131	2494	8432
24x23	3726	2961	2283	3802	1610	1212	9236	3030	1753	2037
14x14	1241	1399	1109	944	534	691	327	1742	1923	434
25x22	5249	2684	2435	5343	1708	2066	2785	1816	918	10556
15x15	1141	5278	976	2480	432	839	386	994	1275	391
26x21	2952	3101	1331	2731	893	984	1305	2609	466	940
27x24	2614	1871	3921	1850	803	744	1084	805	1380	3279
30x25	2635	2560	2249	3088	979	1042	1009	1073	2590	982
19x20	1505	5658	1630	2022	1235	986	1970	2066	846	762
31x28	589	442	1046	627	264	205	265	314	330	282
20x23	2480	17225	2888	7610	3316	1127	13966	1320	1405	1246
21x22	1733	8465	1267	3652	7494	956	6069	861	507	1092
32x18	3579	2751	2309	7858	3165	2163	2263	1773	3382	2473
22x5	3734	1308	3381	995	830	1928	912	1175	592	1123
32x8	4391	2102	3932	1875	1628	727	1389	2163	1313	1226
14x17	571	5588	1607	1423	607	665	416	1549	804	403
15x20	1268	3074	3432	848	328	726	459	1080	486	857
19x13	4065	3592	4935	2944	1760	1547	3264	708	2393	1242
27x17	2792	3896	1209	7937	17877	2060	1661	1489	2172	879
28x26	3072	2684	2044	3899	3613	1248	2715	1415	7175	1462
26x6	5199	2115	6369	1294	1508	3645	1141	1663	1928	1354
29x27	2641	1287	3358	1411	751	500	825	3018	1010	998
16x22	1916	4732	4194	1110	644	827	546	2001	526	1044
17x23	507	1819	1970	874	1474	593	734	672	744	555
18x20	2343	3437	1378	1258	557	602	754	1072	440	329
23x25	4503	2453	3776	3161	1483	1240	2026	1770	2337	1592
32x15	1193	450	983	902	542	407	750	529	829	1552
24x11	1937	2623	1154	1683	3534	938	4335	937	1751	964
27x22	2759	2573	1747	3762	1834	995	1336	2683	489	1031
25x10	3716	1117	2864	1490	773	776	855	1452	1216	2286
28x17	3606	5527	742	4535	7168	2032	1817	1021	1778	602
29x20	5129	4333	1867	5670	4983	1064	3618	1315	772	1654
27x12	3539	1676	3124	1921	1097	851	1055	846	1013	1556
30x11	1238	1037	1113	1087	1217	764	710	710	913	1337
29x14	1989	1491	6061	1622	1705	645	3106	720	1037	1037
16x13	939	8783	1771	3414	1282	1439	1467	1238	6010	787
21x24	3506	5306	3401	4746	2009	1837	7377	1093	1409	1849
19x8	6540	1091	3478	1002	709	5345	984	2572	886	1857
17x8	5354	4278	851	1595	807	10491	986	2130	1189	860
22x23	2189	5537	2328	10304	2057	1631	18712	1932	4867	1074
18x15	3921	4941	1653	3316	735	644	658	1345	4385	949
23x22	5427	4025	3381	4525	5276	1610	7684	1633	1245	4757
22x9	6064	2244	12851	2906	5014	7144	2872	1245	2093	4379
23x12	4059	6216	1589	3348	8745	1487	5627	1280	1807	3803
24x18	6224	6481	2301	9247	22757	3117	2223	2534	5853	1340
25x19	3182	2023	1711	4024	3567	1171	7004	1610	1237	2894
13x16	493	1319	1028	209	518	522	339	2422	314	346
26x8	6145	1261	8983	2319	2057	2461	2184	1524	2471	9197
27x5	1886	731	1140	686	338	1163	465	934	611	410
17x15	2116	4953	1309	2760	702	728	992	792	2873	708
28x6	3943	1966	2549	2763	899	6718	1817	1246	2055	1210
31x11	2295	1701	1099	4429	1736	1257	1097	1503	1897	2385
29x7	6306	840	3295	1183	730	1432	1181	9398	1828	3245
30x20	2135	3927	1995	8761	3021	1084	11044	1784	1192	1041
19x17	3234	5000	2872	2559	897	871	2016	1971	2961	924
31x17	3139	1978	2787	5921	1766	1278	950	1416	2600	1862
20x10	7740	2236	3285	2728	1756	17494	2986	2213	1389	2446
18x6	3308	1412	693	2033	500	5822	803	798	902	761
21x11	7220	2700	1242	3916	6798	11084	4227	1672	1165	2577
23x5	6364	1304	10457	2333	2628	4479	2285	1267	2011	1917
24x25	3681	1725	4156	1467	1029	762	782	1084	1385	1685
25x20	3488	1867	729	6940	1406	1271	1397	1222	523	1151
15x9	2042	3513	2974	1147	727	4053	642	3685	1038	905
26x19	2463	3552	1329	7898	12479	1541	3405	2412	1097	2824
27x26	5693	2206	3362	2228	1135	949	1593	2161	6969	1984
19x22	2618	8344	1678	3091	7186	920	2885	1724	829	1019
20x17	5364	6093	4146	2411	980	1086	2506	1069	2616	745
16x17	1133	8757	1161	1940	816	872	669	860	2894	757
21x20	3037	2041	2538	1617	977	501	1297	1227	627	863
32x20	3279	1765	3121	3684	2525	1124	3394	912	1873	605
22x27	1497	729	774	478	348	264	250	518	353	390
32x10	2207	2218	2330	3768	19543	1453	1197	1613	3666	4147
26x26	4727	4697	2609	9538	4768	1193	1539	2333	11895	1673
24x6	4819	1477	6695	1823	1245	3826	1314	1157	1263	3101
27x19	3483	3806	1515	9185	14883	1550	4842	1645	820	1950
25x7	3617	1547	3779	1538	1407	1691	919	1283	1370	3462
28x20	3800	1328	1692	2437	1541	791	1729	1750	738	2176
29x25	3115	1626	2491	1862	657	1335	1010	905	1037	897
27x9	3706	1724	1085	4541	4151	1511	6278	3784	5299	2445
31x7	2889	2826	3877	2398	1319	2488	3245	1016	2658	1623
20x24	3128	6870	1766	13741	4262	1958	9041	1353	1970	1867
16x8	4357	4028	2460	2349	866	18073	783	1482	948	1128
19x5	5068	1182	1821	1688	928	4577	691	2013	1235	3808
17x21	2122	13458	1382	4307	2190	1400	1714	1165	685	741
22x18	4330	4344	2026	4553	2164	1440	3415	2127	3609	2364
20x6	6877	1800	3471	1841	833	6178	1234	1191	1044	1558
18x18	2296	14962	954	4114	2671	948	3891	1146	990	1028
23x27	4245	1774	3400	1467	845	673	629	2158	892	683
21x7	7422	1665	6631	2436	1052	9166	2175	1885	2292	1801
24x13	5005	3068	6139	3375	6955	1503	2216	1128	2259	4527
25x8	4104	930	3900	1576	912	1316	961	1154	1660	1349
13x21	880	2402	1685	635	376	641	316	5118	446	268
28x19	2738	2024	905	9187	4704	1321	1756	1293	948	1262
26x15	5596	2049	2969	2356	3301	1415	2590	1404	2118	1570
29x18	2631	5593	839	2325	8300	1479	1470	505	950	975
27x14	2729	2205	8200	2425	2689	1471	2792	1096	1523	805
30x9	3069	2100	4625	1798	1370	1209	909	1746	1891	1275
28x9	6273	3319	1772	4202	4499	3166	2297	3772	3070	1218
31x12	2248	1084	3227	3108	1178	1027	870	1380	1732	3453
29x12	3103	3967	1778	2335	1659	1263	1239	2307	1269	1628
16x15	1447	11683	1963	5270	1615	1337	1009	1067	5754	489
30x19	1794	4888	578	15266	4141	1675	4998	694	691	481
19x10	5463	1557	2225	2394	938	8671	955	1296	1073	2523
17x14	1092	11799	870	7805	4401	994	2349	711	12130	483
22x21	3919	8942	2029	4617	3032	903	4228	1358	723	1829
20x13	5242	2112	5019	3498	7657	1621	7711	3586	5584	1969
18x13	2434	2481	2231	2224	1157	1071	3264	984	2177	1058
23x16	3796	3388	3051	5726	11324	1557	6750	2152	3927	2115
32x24	4765	2033	4315	2252	1700	663	752	3612	2045	1156
22x15	4637	3261	3744	5560	8840	1986	3497	3206	9034	1767
23x14	1917	3954	1104	4487	8275	1414	4596	1424	2165	1687
24x20	2222	6001	4376	4779	3610	1105	15558	1507	709	1957
25x17	1978	2893	1172	5392	9527	1248	3539	1236	5522	933
26x22	4209	2979	3339	4500	1793	1402	1209	2305	763	3747
27x7	2761	1706	3024	3878	2443	17318	1328	1014	4535	1364
16x6	3164	2482	1499	1512	571	5451	568	1298	590	691
30x26	3034	4289	1840	2837	2336	953	2016	1029	6124	1210
19x19	1730	8674	1488	4095	1733	1208	7383	1279	790	697
17x7	3930	2526	1662	2059	1176	13518	1336	2517	1425	1172
31x19	2629	2662	3260	6362	2247	1390	8919	1401	1880	871
20x20	2377	6420	1837	4191	3820	1429	3043	1166	889	1185
21x9	4806	961	3731	1739	1312	3513	1223	1324	1235	1690
17x25	1457	1353	597	703	359	495	366	3184	419	273
22x6	5626	1375	3498	1473	685	3859	1417	1135	685	1135
23x7	6711	1178	2303	2797	2169	21590	2632	1076	2626	1266
24x27	5099	1671	4008	2553	965	922	776	1333	1076	930
14x18	553	5674	1177	1664	458	682	480	4265	559	337
25x26	3959	2033	1431	2757	959	524	593	1557	2462	997
15x11	894	2937	2898	679	327	808	369	429	723	369
26x17	6744	3077	2464	6461	12813	1828	1385	1629	2635	3265
27x28	1786	987	1134	770	514	497	513	692	697	535
19x24	2922	8269	1453	5040	2649	1444	8600	1236	1379	959
31x24	2344	1595	5415	1750	819	1069	1307	1175	1669	862
20x19	2528	4374	1800	2725	1813	1053	3203	1562	852	1094
16x19	1011	11776	1504	3605	1284	1231	1246	1641	928	1084
21x18	4119	4334	1510	3748	2948	884	2786	1376	2985	1694
17x18	1536	13769	1865	5256	1329	1092	989	2167	1266	1196
32x22	3012	1631	3897	1767	1629	839	1833	892	1422	697
22x25	3095	3485	5125	8729	2903	5467	3709	1909	3692	7807
32x12	540	349	452	439	333	406	303	308	420	1117
14x21	567	2967	2208	598	328	471	379	760	517	308
15x16	755	7903	1283	2619	761	1061	502	1571	2165	679
26x24	3381	4291	2309	3201	1066	1485	1332	2794	1995	20411
24x8	3409	1184	4960	1700	1262	2524	1504	1224	1069	2610
27x21	4816	2809	2556	7393	1865	1070	2403	3393	808	4687
25x5	3641	917	1791	869	384	1706	593	1623	594	1847
28x22	2966	1499	1838	2276	1289	825	654	1775	507	1080
29x23	4625	3440	5144	2130	1249	1745	1452	1428	1140	1463
27x11	2507	1113	3237	2665	1249	1856	2152	1516	2224	6009
28x12	3203	1551	2304	1972	18765	4062	1608	3033	2557	2488
20x26	1395	875	2549	802	527	675	1247	813	725	504
16x10	2955	2688	5700	1867	919	9111	1317	1977	1113	930
19x7	9250	2243	2259	2607	1171	16089	1255	2354	1509	1501
17x11	3628	1501	3331	1922	933	16829	2443	1543	1165	4432
22x16	3854	3965	4289	3774	1801	975	2598	1879	2421	1169
18x16	2062	5186	1369	3141	927	917	1065	979	5790	1030
23x21	3493	5860	2058	8609	30289	988	10698	1724	892	1576
