	Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9	Factor 10
21x5	6864	2398	5506	1707	1020	4665	1312	1734	1414	1929
22x10	5287	3156	937	3697	4979	25272	1604	784	911	960
24x15	2051	6319	1292	4950	8760	852	2113	931	2477	793
12x18	411	2533	1722	330	526	522	372	2659	371	259
25x14	2123	3325	831	1789	3320	621	1636	1410	1201	1212
15x7	2926	4395	3367	1697	714	3452	902	1685	1417	1448
13x19	654	2309	1008	608	251	407	326	2611	351	320
26x13	3584	3061	3594	4896	8703	934	1761	1427	2352	1272
29x16	6361	2769	6793	4996	15817	1548	2107	1436	7162	2057
30x15	1549	537	2503	812	956	638	737	1069	1965	3758
28x11	2828	1077	1578	2312	1991	2262	5587	1369	3031	6187
31x14	2289	1041	2490	5015	1570	1455	701	2235	3637	3507
29x10	2889	1650	2537	2183	1808	1438	1296	1547	1749	1572
30x17	1853	1490	1682	3739	2867	1136	1148	1355	2164	1852
17x12	2728	3017	8495	1694	1453	1230	777	631	1596	626
31x20	2400	3651	2849	5871	4930	1041	7105	1162	2497	1568
20x15	1622	4301	1133	4848	4791	1365	12960	881	15486	924
18x11	3138	1811	2040	1222	478	3799	544	1148	463	668
23x18	3284	6125	1948	11440	31262	1262	3817	2593	13873	1772
21x14	4552	3744	1221	13336	17104	2446	2771	1779	4967	1650
32x26	2352	1488	2016	3604	810	484	625	914	2359	895
22x13	3614	2394	3461	3129	3674	1039	2932	1413	1806	1791
23x8	6830	1504	6505	1744	2255	7410	2050	1715	2805	4757
24x22	4978	2824	5351	4701	2194	1207	10948	5182	1172	1912
25x23	3580	3116	2194	3302	2273	1306	9916	2697	1406	4758
15x12	782	3831	6319	1272	652	1430	536	810	1301	486
26x20	3846	2916	1731	4624	2177	756	3062	3040	750	3033
27x25	3157	1577	3961	2185	1657	1223	2253	1400	3594	4490
30x24	2386	2690	1514	3489	1137	736	1233	1076	2657	624
17x5	4575	1614	2607	1471	1064	4226	865	1522	1134	943
20x22	1399	8918	1131	3946	6086	1373	2781	720	639	616
21x23	3542	9288	1582	4081	4846	1879	11573	1692	4048	1002
32x17	2333	2082	3554	4012	1966	1429	1623	1340	2612	8788
14x16	546	8311	1351	1086	381	521	270	1315	864	308
25x24	5116	1659	2138	2440	1177	828	3346	8232	3065	2921
15x21	1731	9350	2125	2564	700	1355	664	3598	713	896
28x25	2487	2675	2681	1469	1433	1086	1334	2523	1001	1428
29x28	807	668	1785	893	419	327	344	295	433	292
31x26	1712	1183	2763	1282	417	717	569	1424	889	795
16x21	2193	11200	2777	2415	1737	1825	1297	1010	610	1114
21x16	4510	3666	3872	2510	1153	1171	1666	2996	1945	875
17x16	906	4039	2230	3237	920	1153	695	1039	14942	845
18x23	1860	5255	1443	1646	877	818	1634	1226	707	852
32x14	1646	930	2242	5175	1493	1301	1379	1313	4528	5543
15x18	929	7928	1450	2000	686	756	575	1870	744	600
19x12	3236	2137	5754	1931	2230	2356	2229	862	1059	985
24x10	6281	1902	2465	1620	928	1088	711	2104	1294	1461
27x23	5284	3628	4275	4757	1874	1241	2104	1951	1862	7045
25x11	3834	1581	2911	1052	1157	727	1439	1048	874	1392
28x16	3598	4228	1375	7002	17598	1425	2208	1785	4026	1140
29x21	4067	7846	1856	4798	7910	1885	1764	1405	1151	1255
27x13	1195	2982	881	2985	4470	1156	3326	726	4827	732
30x10	3375	2096	4538	2559	3748	2243	1695	1581	1935	3146
28x14	3748	1613	2021	3715	3018	1887	4155	4141	2924	1586
29x15	2871	1304	1920	3140	1485	943	1750	1481	2379	1510
16x12	1522	4849	7013	1666	587	1068	775	1273	1873	587
21x25	4727	3310	4066	10187	3715	3867	7183	1919	3395	3492
19x9	5071	1741	2070	2217	1244	13036	1754	2141	2014	2113
17x9	6970	1962	4135	2071	640	16498	1177	2605	1276	2793
22x22	3757	10796	2073	10666	6397	1639	10648	1436	1001	1836
18x14	3354	9704	1857	5013	2198	903	4860	1195	12788	934
23x23	6311	4618	2334	5504	3262	2077	12236	3162	2173	4671
22x8	3829	1356	2059	978	1421	7171	1057	1125	3290	1441
23x13	3025	1897	4537	2966	9580	781	2288	1503	1498	3167
24x17	2767	3173	2555	6039	4897	1283	9730	1605	8371	1104
25x12	3341	4305	1654	2156	3857	713	2009	1816	2574	994
13x17	526	6168	1349	878	448	455	351	2336	534	322
26x11	3220	1314	3947	1683	1074	1394	2053	1179	2417	5307
30x13	1648	2241	1293	4765	6866	1553	1517	1493	3307	1116
31x8	6325	2893	3259	1876	1859	927	1386	1556	1947	1036
29x8	4977	1645	6912	2403	2358	1197	1911	1875	1551	1865
30x28	638	546	824	660	236	338	278	665	520	289
30x23	3299	1006	3725	1136	1512	689	841	1128	908	626
19x14	2774	5176	1371	3745	2462	1214	5749	802	7691	784
31x22	2000	1507	2237	2697	1890	603	1631	1785	1443	858
20x9	7044	1307	2351	3413	1413	18683	2187	3419	1179	3577
18x9	7432	2847	2015	2791	969	15940	1102	1736	1899	1225
21x12	4172	7093	2433	4152	8502	1826	4588	1568	1895	1189
32x28	607	897	614	343	271	373	243	498	478	279
23x10	3643	1426	2745	2172	1908	1406	1501	907	2020	3916
24x24	3817	1805	4342	2583	1142	814	3063	3286	1359	2028
14x15	506	4500	1239	891	557	695	338	1660	1071	438
25x21	5013	3718	1408	4186	2605	1835	3382	2636	932	2427
15x14	1416	2899	2015	889	481	416	416	1239	1037	375
26x18	2355	5301	1599	6522	19850	2455	6572	970	1302	990
27x27	3109	2507	2154	2357	946	604	675	1054	1470	1436
28x28	1705	1007	1964	618	347	340	514	387	779	375
19x23	2455	8729	2003	2418	2293	1162	2155	1164	661	1036
20x16	4456	5880	2862	3374	2045	1324	4173	4586	8313	1042
16x16	1209	2824	1320	1981	419	566	689	1061	3746	522
21x21	3129	18218	4327	9238	5762	1867	25359	3656	773	1679
32x19	2139	3575	1355	4454	6920	1126	3080	782	1538	921
22x26	7336	2371	4212	3786	1200	1119	1362	3324	2120	5858
32x9	3821	1688	4643	2178	2942	821	1030	2001	2732	1396
24x5	3121	1262	2248	1228	552	1845	597	1065	749	4022
28x15	1547	750	642	1861	1272	793	525	538	1372	499
28x27	1926	2348	3537	2135	647	1113	1011	1060	1784	1190
26x7	6333	1298	5191	2007	1425	2852	1012	2311	1473	2265
29x26	2654	1388	1454	4055	2117	988	1520	724	5084	1302
17x22	2311	20568	8636	5933	5481	2462	3060	1958	1276	2283
20x5	5236	1654	1795	1993	817	15266	948	1914	1292	12373
18x21	2696	3103	1743	1212	1707	953	716	2348	656	465
23x24	5214	3676	8886	3508	2881	1718	2753	3102	1926	1508
24x12	4953	7364	1503	2968	7254	802	2690	1087	1376	1576
25x9	2431	599	1687	914	961	775	946	937	989	2251
28x18	4751	3890	922	4042	21525	1639	2162	1199	915	1198
26x14	2203	1248	2789	1267	1415	994	1084	759	1027	796
29x19	5261	3711	1962	3890	9386	1668	1554	2388	1213	2721
27x15	4043	1639	4371	1773	1620	1015	1865	1176	1951	1007
30x8	3312	1353	5773	2155	1772	1260	1707	993	1300	1228
28x8	5302	1871	5525	1944	1278	1184	1601	1459	1700	1933
31x13	2524	1265	2045	5270	2214	1500	1222	1998	4003	2941
29x13	1461	2644	4189	1801	1539	672	903	732	1012	2696
16x14	869	5643	604	8358	1489	1025	745	723	1698	398
30x18	4466	5413	2278	10522	6211	2125	2109	2069	1996	2079
19x11	3545	2305	2189	1383	905	6501	1076	1417	700	643
22x20	4258	8276	2487	5905	11847	1190	5050	2672	1096	17251
20x12	3060	4361	2800	3647	17956	2459	7491	1505	1662	1875
18x12	3026	1771	3054	986	569	1082	586	688	657	510
23x17	6131	3477	1845	4120	8691	2038	10844	2522	10871	7482
32x7	1744	1655	2081	656	1377	658	1122	647	1514	1906
22x14	2062	2922	844	15558	21209	1212	1348	1031	2459	670
23x15	4710	4177	7011	4568	5442	1914	4033	1150	6352	2601
24x19	3654	4054	1652	5444	5350	1049	6831	1196	1120	1234
25x18	4497	2707	1359	5800	5440	1031	8907	2093	2121	1846
13x15	443	1841	1220	331	395	339	245	1773	508	316
26x9	9903	2182	4709	3648	1488	2663	3499	3019	4550	5214
28x7	2751	1347	855	1298	603	2567	543	980	1407	907
31x10	3764	1336	3596	2405	1789	958	1084	1207	1374	1479
29x6	4468	1602	6095	2406	1665	1439	1446	1547	1255	1684
30x21	2477	1763	1060	2815	6777	602	1277	1343	1546	761
19x16	2268	6703	1698	4474	1805	1048	1319	983	6831	557
31x16	1249	470	1050	1057	542	385	477	689	691	686
20x11	2331	1698	1091	1649	1882	5846	2163	696	924	617
18x7	4223	1865	1225	1518	537	6703	620	1025	713	1099
21x10	7533	1694	11770	3709	4126	7999	2922	1869	1927	1826
24x26	2977	5809	1906	3969	1309	814	1507	1821	3057	1615
14x13	556	2120	1486	625	319	331	177	1185	617	291
25x27	6068	2484	5819	2277	878	1054	948	1853	2041	820
15x8	1275	2665	2112	846	455	2236	383	1867	410	525
26x16	5393	5360	3861	3913	6452	1426	1901	2812	2672	1108
17x10	5763	5104	3910	1461	1046	18161	892	1571	1098	756
19x25	959	1288	1134	757	338	496	545	424	544	431
31x25	2595	1323	2951	1418	438	794	763	1055	998	898
20x18	2480	6973	1221	2333	1777	731	2150	1121	1534	1136
16x18	932	7669	2158	2171	587	1158	476	1408	791	644
21x19	2459	8180	2461	3542	1608	1009	3150	1592	788	1580
17x19	1434	3314	1738	2028	497	554	652	1079	596	577
32x21	2929	3235	3470	4459	2477	598	2614	1072	1635	872
22x24	3867	5400	5067	3271	874	1193	1518	1538	1431	8702
18x24	3916	6628	1606	1655	1411	1656	1447	4005	718	526
32x11	1267	810	1448	827	716	605	722	729	981	2587
14x20	1000	1848	1153	465	171	403	163	1385	294	270
15x17	728	1901	1334	1132	427	893	416	1693	516	293
26x27	5718	1811	2203	4540	949	1063	815	2937	7982	1620
24x7	8166	1257	4336	2398	3312	14747	1770	1699	4260	1992
27x18	5511	5038	2187	7325	17147	3755	2605	1872	2216	2190
25x6	4509	913	4104	1210	939	1461	621	1128	582	984
28x21	2625	2299	1352	3672	1468	1276	2039	1789	616	1129
26x5	3991	1104	1679	990	658	2582	587	3740	1598	819
29x24	2729	1538	3495	1829	890	674	867	1280	719	1037
27x8	3643	983	4033	1553	1092	1264	1049	1785	1242	2056
